date,adm1_name,adm0_name,cum_confirmed_cases,cum_confirmed_cases_original,cum_deaths,cum_recoveries,active_cases,lat,lon,active_cases_new,population,business_closure_opt,emergency_declaration,event_cancel,no_demonstration,no_gathering_opt,pos_cases_quarantine,religious_closure,school_closure,social_distance_opt,testing_regime,travel_ban_intl_in_opt,travel_ban_intl_out_opt,welfare_services_closure,work_from_home_opt,travel_ban_intl_in_opt_country_list,travel_ban_intl_out_opt_country_list,policies_enacted
2020-01-21,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-22,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-23,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-24,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-25,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-26,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-27,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-28,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"""[""China""]""",NA,1
2020-01-29,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"""[""China""]""",NA,1
2020-01-30,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"""[""China""]""",NA,1
2020-01-31,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"""[""China""]""",NA,1
2020-02-01,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"""[""China""]""",NA,1
2020-02-02,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"""[""China""]""",NA,1
2020-02-03,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"""[""China""]""",NA,1
2020-02-04,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,2,1,0,0,0,"""[""China""]""",NA,1
2020-02-05,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,2,1,0,0,0,"""[""China""]""",NA,1
2020-02-06,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,2,1,0,0,0,"""[""China""]""",NA,1
2020-02-07,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,3,1,0,0,0,"""[""China""]""",NA,1
2020-02-08,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,3,1,0,0,0,"""[""China""]""",NA,1
2020-02-09,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,3,1,0,0,0,"""[""China""]""",NA,1
2020-02-10,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,3,1,0,0,0,"""[""China""]""",NA,1
2020-02-11,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,3,1,0,0,0,"""[""China""]""",NA,1
2020-02-12,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,3,1,0,0,0,"""['China', 'Hongkong', 'Macau']""",NA,1
2020-02-13,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,3,1,1,0,0,"""['China', 'Hongkong', 'Macau']""","""['China', 'Hongkong', 'Macau', 'Japan', 'Malaysia', 'Singapore', 'Taiwan', 'Thailand', and 'Vietnam']""",2
2020-02-14,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,3,1,1,0,0,"""['China', 'Hongkong', 'Macau']""","""['China', 'Hongkong', 'Macau', 'Japan', 'Malaysia', 'Singapore', 'Taiwan', 'Thailand', and 'Vietnam']""",2
2020-02-15,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,3,1,1,0,0,"""['China', 'Hongkong', 'Macau']""","""['China', 'Hongkong', 'Macau', 'Japan', 'Malaysia', 'Singapore', 'Taiwan', 'Thailand', and 'Vietnam']""",2
2020-02-16,Chungcheongbuk-do,KOR,0,0,0,0,0,36.701,127.818,0,1598599,0,0,0,0,0,0,0,0,0,3,1,1,0,0,"""['China', 'Hongkong', 'Macau']""","""['China', 'Hongkong', 'Macau', 'Japan', 'Malaysia', 'Singapore', 'Taiwan', 'Thailand', and 'Vietnam']""",2
